item,count,gfs_title,gfs_title_percent,gfs_author,gfs_author_percent,gfs_author_id,gfs_author_id_percent,gfs_pubyear,gfs_pubyear_percent,gfs_pubyear_clean,gfs_pubyear_clean_percent,gfs_subject,gfs_subject_percent,gfs_subject_id,gfs_subject_id_percent,gfs_description,gfs_description_percent,gfs_item_type,gfs_item_type_percent,gfs_is_digitized,gfs_is_digitized_percent
prm-baddeley-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-baker-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-balfour-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-barnes-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-bell-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-blackwood-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-blair-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-blomfield-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-bower-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-bradford-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-brown-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-buxton-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-caton-thompson-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-chapman-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-clausen-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-cole-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-cranstone-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-crocker-jones-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-crook-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-egerton-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-ettlinger-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-evans-pritchard-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-eyre-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-foster-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-freire-marreco-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-gardner-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-garrod-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-gibson-hill-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-grist-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prm-gross-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
